x;y;groupe;;;;;;;;;
806865.503;6789857.06;1;;;;;;;;;
824644.914;6822336.98;3;;;;;;;;;
751176.56;6802061.66;7;;;;;;;;;
802676.087;6831928.39;1;;;;;;;;;
811204.627;6876331.04;1;;;;;;;;;
762920.039;6876271.16;3;;;;;;;;;
815982.094;6892164.95;1;;;;;;;;;
765485.555;6875096.84;5;;;;;;;;;
832986.677;6852923.6;2;;;;;;;;;
785607.157;6902236.67;1;;;;;;;;;
822053.977;6892796.86;1;;;;;;;;;
884011.818;6756726.69;4;;;;;;;;;
884011.818;6756726.69;6;;;;;;;;;
844023.848;6771626.24;1;;;;;;;;;
848540.467;6822706.37;13;;;;;;;;;
848849.963;6744755.98;1;;;;;;;;;
881025.572;6756426.82;5;;;;;;;;;
881025.572;6756426.82;10;;;;;;;;;
863846.943;6766452.94;15;;;;;;;;;
849802.487;6740105.01;1;;;;;;;;;
972692.455;6837531.27;1;;;;;;;;;
980492.597;6838690.94;13;;;;;;;;;
912015.737;6839935.49;2;;;;;;;;;
937935.501;6865606.95;1;;;;;;;;;
912706.891;6920874.61;1;;;;;;;;;
964945.191;6826775.65;13;;;;;;;;;
886272.734;6847518.52;14;;;;;;;;;
876005.805;6848643.17;1;;;;;;;;;
852392.501;6906540.89;8;;;;;;;;;
881867.227;6880758.17;1;;;;;;;;;
883581.413;6844918.63;1;;;;;;;;;
871527.178;6840226.75;10;;;;;;;;;
862544.51;6911483.11;8;;;;;;;;;
880062.271;6848942;1;;;;;;;;;
867500.808;6902652.52;10;;;;;;;;;
867500.808;6902652.52;4;;;;;;;;;
880026.113;6840060.14;1;;;;;;;;;
1007734.63;6862804.07;13;;;;;;;;;
958756.938;6898812.07;1;;;;;;;;;
951503.3;6902207.17;1;;;;;;;;;
949965.187;6900537.92;1;;;;;;;;;
1004966.02;6865919.75;8;;;;;;;;;
989287.323;6868981.38;13;;;;;;;;;
984456.235;6859189.98;1;;;;;;;;;
1006209.71;6852967.07;10;;;;;;;;;
947360.155;6914273.23;10;;;;;;;;;
1004966.02;6865919.75;4;;;;;;;;;
1020521.55;6904532.74;5;;;;;;;;;
959955.965;6901643.57;4;;;;;;;;;
1007734.63;6862804.07;10;;;;;;;;;
994296.475;6871004.97;10;;;;;;;;;
990881.78;6858634.53;13;;;;;;;;;
1046441.05;6823735.18;9;;;;;;;;;
1028641.3;6788765.26;12;;;;;;;;;
1066864.12;6877630.17;5;;;;;;;;;
994296.475;6871004.97;13;;;;;;;;;
991553.152;6875740.33;13;;;;;;;;;
1027677.1;6866736.83;1;;;;;;;;;
1024983.58;6793088.64;1;;;;;;;;;
941493.098;6787614.34;13;;;;;;;;;
933866.95;6786109.61;13;;;;;;;;;
901024.813;6788985.52;4;;;;;;;;;
915517.406;6786440.16;1;;;;;;;;;
924060.211;6793544.46;1;;;;;;;;;
931723.759;6814232.27;13;;;;;;;;;
948844.352;6783178.91;4;;;;;;;;;
955778.663;6768815.52;13;;;;;;;;;
910998.181;6793800.59;13;;;;;;;;;
924424.611;6783323.96;10;;;;;;;;;
322091.461;6717735.01;4;;;;;;;;;
358167.197;6676446.79;8;;;;;;;;;
346723.115;6672646.73;4;;;;;;;;;
346068.873;6726662.43;8;;;;;;;;;
336840.64;6661833.77;8;;;;;;;;;
336840.64;6661833.77;8;;;;;;;;;
346068.873;6726662.43;4;;;;;;;;;
338831.073;6682064.79;8;;;;;;;;;
341637.529;6672087.77;4;;;;;;;;;
378516.537;6744867.06;11;;;;;;;;;
359701.282;6714934.21;5;;;;;;;;;
297737.414;6711131.09;3;;;;;;;;;
327182.679;6723155.34;4;;;;;;;;;
337420.751;6736371.91;4;;;;;;;;;
371582.577;6733751.36;4;;;;;;;;;
346124.717;6682369.31;13;;;;;;;;;
382659.148;6736582.22;4;;;;;;;;;
333647.865;6665733.6;3;;;;;;;;;
360001.356;6733391.79;8;;;;;;;;;
341637.529;6672087.77;8;;;;;;;;;
332446.496;6728649.67;4;;;;;;;;;
356790.398;6746491.66;8;;;;;;;;;
320530.657;6685223.17;10;;;;;;;;;
325692.35;6713529.95;8;;;;;;;;;
355581.342;6699197.69;4;;;;;;;;;
345817.989;6747722.83;4;;;;;;;;;
339655.625;6675245.47;13;;;;;;;;;
324909.342;6684984.42;4;;;;;;;;;
342022.656;6742906.2;4;;;;;;;;;
324909.342;6684984.42;3;;;;;;;;;
419133.1;6720645.74;8;;;;;;;;;
404016.414;6674210.65;8;;;;;;;;;
418231.322;6685804.41;10;;;;;;;;;
410777.854;6727922.76;8;;;;;;;;;
443963.873;6682767.49;13;;;;;;;;;
443963.873;6682767.49;14;;;;;;;;;
418231.322;6685804.41;13;;;;;;;;;
423112.215;6724281.01;8;;;;;;;;;
407104.498;6715069.04;5;;;;;;;;;
386868.896;6743757.48;3;;;;;;;;;
468683.667;6678434.18;13;;;;;;;;;
402628.966;6744999.33;5;;;;;;;;;
414833.998;6739115.07;1;;;;;;;;;
413880.448;6664422.42;13;;;;;;;;;
398618.021;6686748.84;4;;;;;;;;;
396688.143;6737780.12;1;;;;;;;;;
410777.854;6727922.76;1;;;;;;;;;
474837.034;6720251.19;2;;;;;;;;;
